Date,Oil,SP500,NASDAQ
2020-01-02,66.25,3257.85009765625,9092.1904296875
2020-01-03,68.5999984741211,3234.85009765625,9020.76953125
2020-01-06,68.91000366210938,3246.280029296875,9071.4697265625
2020-01-07,68.2699966430664,3237.179931640625,9068.580078125
2020-01-08,65.44000244140625,3253.050048828125,9129.240234375
2020-01-09,65.37000274658203,3274.699951171875,9203.4296875
2020-01-10,64.9800033569336,3265.35009765625,9178.8603515625
2020-01-13,64.19999694824219,3288.1298828125,9273.9296875
2020-01-14,64.48999786376953,3283.14990234375,9251.330078125
2020-01-15,64.0,3289.2900390625,9258.7001953125
2020-01-16,64.62000274658203,3316.81005859375,9357.1298828125
2020-01-17,64.8499984741211,3329.6201171875,9388.9404296875
2020-01-21,64.58999633789062,3320.7900390625,9370.8095703125
2020-01-22,63.209999084472656,3321.75,9383.76953125
2020-01-23,62.040000915527344,3325.5400390625,9402.48046875
2020-01-24,60.689998626708984,3295.469970703125,9314.91015625
2020-01-27,59.31999969482422,3243.6298828125,9139.3095703125
2020-01-28,59.5099983215332,3276.239990234375,9269.6796875
2020-01-29,59.810001373291016,3273.39990234375,9275.16015625
2020-01-30,58.290000915527344,3283.659912109375,9298.9296875
2020-01-31,58.15999984741211,3225.52001953125,9150.9404296875
2020-02-03,54.45000076293945,3248.919921875,9273.400390625
2020-02-04,53.959999084472656,3297.590087890625,9467.9697265625
2020-02-05,55.279998779296875,3334.68994140625,9508.6796875
2020-02-06,54.93000030517578,3345.780029296875,9572.150390625
2020-02-07,54.470001220703125,3327.7099609375,9520.509765625
2020-02-10,53.27000045776367,3352.090087890625,9628.3896484375
2020-02-11,54.0099983215332,3357.75,9638.9404296875
2020-02-12,55.790000915527344,3379.449951171875,9725.9599609375
2020-02-13,56.34000015258789,3373.93994140625,9711.9697265625
2020-02-14,57.31999969482422,3380.159912109375,9731.1796875
2020-02-18,57.75,3370.2900390625,9732.740234375
2020-02-19,59.119998931884766,3386.14990234375,9817.1796875
2020-02-20,59.310001373291016,3373.22998046875,9750.9697265625
2020-02-21,58.5,3337.75,9576.58984375
2020-02-24,56.29999923706055,3225.889892578125,9221.2802734375
2020-02-25,54.95000076293945,3128.2099609375,8965.6103515625
2020-02-26,53.43000030517578,3116.389892578125,8980.7802734375
2020-02-27,52.18000030517578,2978.760009765625,8566.48046875
2020-02-28,50.52000045776367,2954.219970703125,8567.3701171875
2020-03-02,51.900001525878906,3090.22998046875,8952.169921875
2020-03-03,51.86000061035156,3003.3701171875,8684.08984375
2020-03-04,51.130001068115234,3130.1201171875,9018.08984375
2020-03-05,49.9900016784668,3023.93994140625,8738.58984375
2020-03-06,45.27000045776367,2972.3701171875,8575.6201171875
2020-03-09,34.36000061035156,2746.56005859375,7950.68017578125
2020-03-10,37.220001220703125,2882.22998046875,8344.25
2020-03-11,35.790000915527344,2741.3798828125,7952.0498046875
2020-03-12,33.220001220703125,2480.639892578125,7201.7998046875
2020-03-13,33.849998474121094,2711.02001953125,7874.8798828125
2020-03-16,30.049999237060547,2386.1298828125,6904.58984375
2020-03-17,28.729999542236328,2529.18994140625,7334.77978515625
2020-03-18,24.8799991607666,2398.10009765625,6989.83984375
2020-03-19,28.469999313354492,2409.389892578125,7150.580078125
2020-03-20,26.979999542236328,2304.919921875,6879.52001953125
2020-03-23,27.030000686645508,2237.39990234375,6860.669921875
2020-03-24,27.149999618530273,2447.330078125,7417.85986328125
2020-03-25,27.389999389648438,2475.56005859375,7384.2998046875
2020-03-26,26.34000015258789,2630.070068359375,7797.5400390625
2020-03-27,24.93000030517578,2541.469970703125,7502.3798828125
2020-03-30,22.760000228881836,2626.64990234375,7774.14990234375
2020-03-31,22.739999771118164,2584.590087890625,7700.10009765625
2020-04-01,24.739999771118164,2470.5,7360.580078125
2020-04-02,29.940000534057617,2526.89990234375,7487.31005859375
2020-04-03,34.11000061035156,2488.64990234375,7373.080078125
2020-04-06,33.04999923706055,2663.679931640625,7913.240234375
2020-04-07,31.8700008392334,2659.409912109375,7887.259765625
2020-04-08,32.84000015258789,2749.97998046875,8090.89990234375
2020-04-09,31.479999542236328,2789.820068359375,8153.580078125
2020-04-13,31.739999771118164,2761.6298828125,8192.419921875
2020-04-14,29.600000381469727,2846.06005859375,8515.740234375
2020-04-15,27.690000534057617,2783.360107421875,8393.1796875
2020-04-16,27.81999969482422,2799.550048828125,8532.3603515625
2020-04-17,28.079999923706055,2874.56005859375,8650.1396484375
2020-04-20,25.56999969482422,2823.159912109375,8560.73046875
2020-04-21,19.329999923706055,2736.56005859375,8263.23046875
2020-04-22,20.3700008392334,2799.31005859375,8495.3798828125
2020-04-23,21.329999923706055,2797.800048828125,8494.75
2020-04-24,21.440000534057617,2836.739990234375,8634.51953125
2020-04-27,19.989999771118164,2878.47998046875,8730.16015625
2020-04-28,20.459999084472656,2863.389892578125,8607.73046875
2020-04-29,22.540000915527344,2939.510009765625,8914.7099609375
2020-04-30,25.270000457763672,2912.429931640625,8889.5498046875
2020-05-01,26.440000534057617,2830.7099609375,8604.9501953125
2020-05-04,27.200000762939453,2842.739990234375,8710.7099609375
2020-05-05,30.969999313354492,2868.43994140625,8809.1201171875
2020-05-06,29.719999313354492,2848.419921875,8854.3896484375
2020-05-07,29.459999084472656,2881.18994140625,8979.66015625
2020-05-08,30.969999313354492,2929.800048828125,9121.3203125
2020-05-11,29.6299991607666,2930.18994140625,9192.33984375
2020-05-12,29.979999542236328,2870.1201171875,9002.5498046875
2020-05-13,29.190000534057617,2820.0,8863.169921875
2020-05-14,31.1299991607666,2852.5,8943.7197265625
2020-05-15,32.5,2863.699951171875,9014.5595703125
2020-05-18,34.810001373291016,2953.909912109375,9234.830078125
2020-05-19,34.650001525878906,2922.93994140625,9185.099609375
2020-05-20,35.75,2971.610107421875,9375.7802734375
2020-05-21,36.060001373291016,2948.510009765625,9284.8798828125
2020-05-22,35.130001068115234,2955.449951171875,9324.58984375
2020-05-26,36.16999816894531,2991.77001953125,9340.2197265625
2020-05-27,34.7400016784668,3036.1298828125,9412.3603515625
2020-05-28,35.290000915527344,3029.72998046875,9368.990234375
2020-05-29,35.33000183105469,3044.31005859375,9489.8701171875
2020-06-01,38.31999969482422,3055.72998046875,9552.0498046875
2020-06-02,39.56999969482422,3080.820068359375,9608.3798828125
2020-06-03,39.790000915527344,3122.8701171875,9682.91015625
2020-06-04,39.9900016784668,3112.35009765625,9615.8095703125
2020-06-05,42.29999923706055,3193.929931640625,9814.080078125
2020-06-08,40.79999923706055,3232.389892578125,9924.75
2020-06-09,41.18000030517578,3207.179931640625,9953.75
2020-06-10,41.72999954223633,3190.139892578125,10020.349609375
2020-06-11,38.54999923706055,3002.10009765625,9492.73046875
2020-06-12,38.72999954223633,3041.31005859375,9588.8095703125
2020-06-15,39.720001220703125,3066.590087890625,9726.01953125
2020-06-16,40.959999084472656,3124.739990234375,9895.8701171875
2020-06-17,40.709999084472656,3113.489990234375,9910.5302734375
2020-06-18,41.5099983215332,3115.340087890625,9943.0498046875
2020-06-19,42.189998626708984,3097.739990234375,9946.1201171875
2020-06-22,43.08000183105469,3117.860107421875,10056.48046875
2020-06-23,42.630001068115234,3131.2900390625,10131.3701171875
2020-06-24,40.310001373291016,3050.330078125,9909.169921875
2020-06-25,41.04999923706055,3083.760009765625,10017.0
2020-06-26,41.02000045776367,3009.050048828125,9757.2197265625
2020-06-29,41.709999084472656,3053.239990234375,9874.150390625
2020-06-30,41.150001525878906,3100.2900390625,10058.76953125
2020-07-01,42.029998779296875,3115.860107421875,10154.6298828125
2020-07-02,43.13999938964844,3130.010009765625,10207.6298828125
2020-07-06,43.099998474121094,3179.719970703125,10433.650390625
2020-07-07,43.08000183105469,3145.320068359375,10343.8896484375
2020-07-08,43.290000915527344,3169.93994140625,10492.5
2020-07-09,42.349998474121094,3152.050048828125,10547.75
2020-07-10,43.2400016784668,3185.0400390625,10617.4404296875
2020-07-13,42.720001220703125,3155.219970703125,10390.83984375
2020-07-14,42.900001525878906,3197.52001953125,10488.580078125
2020-07-15,43.790000915527344,3226.56005859375,10550.490234375
2020-07-16,43.369998931884766,3215.570068359375,10473.830078125
2020-07-17,43.13999938964844,3224.72998046875,10503.1904296875
2020-07-20,43.279998779296875,3251.840087890625,10767.08984375
2020-07-21,44.31999969482422,3257.300048828125,10680.3603515625
2020-07-22,44.290000915527344,3276.02001953125,10706.1298828125
2020-07-23,43.310001373291016,3235.659912109375,10461.419921875
2020-07-24,43.34000015258789,3215.6298828125,10363.1796875
2020-07-27,43.40999984741211,3239.409912109375,10536.26953125
2020-07-28,43.220001220703125,3218.43994140625,10402.08984375
2020-07-29,43.75,3258.43994140625,10542.9404296875
2020-07-30,42.939998626708984,3246.219970703125,10587.8095703125
2020-07-31,43.29999923706055,3271.1201171875,10745.26953125
2020-08-03,44.150001525878906,3294.610107421875,10902.7998046875
2020-08-04,44.43000030517578,3306.510009765625,10941.169921875
2020-08-05,45.16999816894531,3327.77001953125,10998.400390625
2020-08-06,45.09000015258789,3349.159912109375,11108.0703125
2020-08-07,44.400001525878906,3351.280029296875,11010.98046875
2020-08-10,44.9900016784668,3360.469970703125,10968.3603515625
2020-08-11,44.5,3333.68994140625,10782.8203125
2020-08-12,45.43000030517578,3380.35009765625,11012.240234375
2020-08-13,44.959999084472656,3373.429931640625,11042.5
2020-08-14,44.79999923706055,3372.85009765625,11019.2998046875
2020-08-17,45.369998931884766,3381.989990234375,11129.73046875
2020-08-18,45.459999084472656,3389.780029296875,11210.83984375
2020-08-19,45.369998931884766,3374.85009765625,11146.4599609375
2020-08-20,44.900001525878906,3385.510009765625,11264.9501953125
2020-08-21,44.349998474121094,3397.159912109375,11311.7998046875
2020-08-24,45.130001068115234,3431.280029296875,11379.7197265625
2020-08-25,45.86000061035156,3443.6201171875,11466.4697265625
2020-08-26,45.63999938964844,3478.72998046875,11665.0595703125
2020-08-27,45.09000015258789,3484.550048828125,11625.33984375
