Date,Oil,SP500,NASDAQ,USD_Index,USD_Normalized,USD_Return
2020-01-02,100.0,100.0,100.0,96.8499984741211,100.0,
2020-01-03,103.54716750810732,99.29401294379548,99.21448083396604,96.83999633789062,99.98967254890238,-0.0103274510976247
2020-01-06,104.0150998673349,99.6448557173426,99.77210438688851,96.66999816894533,99.81414526792804,-0.1755454103407494
2020-01-07,103.049051536704,99.36552740623348,99.74032273361314,96.9800033569336,100.13423323165796,0.3206839700632846
2020-01-08,98.77736217570757,99.85266207209538,100.40749041690246,97.3000030517578,100.46464076894846,0.3299646151242896
2020-01-09,98.67170225899174,100.51720776004234,101.22345939268148,97.4499969482422,100.61951314772752,0.1541561066597196
2020-01-10,98.0830239349941,100.23021317050149,100.9532347847886,97.36000061035156,100.5265897204601,-0.0923512988291075
2020-01-13,96.9056557709316,100.92944071238983,101.99885010348102,97.3499984741211,100.51626226936246,-0.0102733526784803
2020-01-14,97.34339300191628,100.77657976669036,101.75028943430269,97.37000274658205,100.5369171715577,0.0205488164093381
2020-01-15,96.60377358490568,100.9650518122018,101.83134929819902,97.2300033569336,100.39236436633918,-0.143780821299555
2020-01-16,97.53962678729364,101.8097812720087,102.91392327485718,97.31999969482422,100.48528779360664,0.0925602538140779
2020-01-17,97.88679014961674,102.20298716576562,103.26378997772709,97.61000061035156,100.78472085514132,0.2979869671565271
2020-01-21,97.49433409492924,101.93194712830802,103.0643786310861,97.52999877929688,100.70211700143442,-0.0819606910710368
2020-01-22,95.41131937278892,101.96141321510528,103.2069181108487,97.52999877929688,100.70211700143442,0.0
2020-01-23,93.645284400796,102.07774880295896,103.4127094176267,97.69000244140624,100.8673247088482,0.1640558434450989
2020-01-24,91.6075450969192,101.1547453663979,102.44957173174996,97.8499984741211,101.03252453872491,0.1637793312686319
2020-01-27,89.53962218086674,99.56350923408108,100.51823750271603,97.95999908447266,101.1461028681876,0.1124175902574631
2020-01-28,89.82641256080484,100.56447939674558,101.95210669183707,98.0199966430664,101.20805181969924,0.061246997911879
2020-01-29,90.27924735591095,100.47730264503842,102.01238335225662,97.98999786376952,101.17707734394344,-0.0306047544626153
2020-01-30,87.98490704230542,100.7922345620412,102.2738113484454,97.87000274658205,101.05317944092016,-0.1224564953601903
2020-01-31,87.78867901496167,99.00762536163776,100.64615892566626,97.38999938964844,100.5575641962159,-0.4904499269060891
2020-02-03,82.18868039688974,99.72588745603504,101.9930286583728,97.8000030517578,100.98090303831091,0.4209915439767009
2020-02-04,81.44905522184553,101.2198225530071,104.1329897320234,97.95999908447266,101.1461028681876,0.1635951203704744
2020-02-05,83.44150759139151,102.35860587340343,104.58073619369644,98.2699966430664,101.46618295438049,0.3164532069119596
2020-02-06,82.9132080078125,102.69901711266225,105.278815535697,98.5,101.7036670644035,0.234052472565982
2020-02-07,82.21886976709905,102.14435474890354,104.71084871406748,98.68000030517578,101.88952179647548,0.1827414265743954
2020-02-10,80.40754786077535,102.89270492531786,105.89736018945688,98.83000183105467,102.04440205279164,0.1520080314298955
2020-02-11,81.524525768352,103.0664364335124,106.01340242737076,98.72000122070312,101.93082372332891,-0.1113028516781855
2020-02-12,84.21132213664505,103.732518374713,106.97048237331938,99.0500030517578,102.27155871171703,0.3342806188959768
2020-02-13,85.04150966428361,103.56338813236118,106.81661148287569,99.06999969482422,102.29220573637522,0.0201884325596202
2020-02-14,86.52075425633844,103.7543106891602,107.02789127387932,99.12000274658205,102.3438351143263,0.0504724456564575
2020-02-18,87.16981132075472,103.45135405361778,107.04505487034236,99.45999908447266,102.69488967627498,0.3430148592306725
2020-02-19,89.2377342368072,103.93817397491064,107.97375795655675,99.5999984741211,102.8394424814935,0.1407594921949861
2020-02-20,89.52453037477889,103.54159581791396,107.24555102502006,99.87000274658205,103.11822851836996,0.2710886311219074
2020-02-21,88.30188679245283,102.45253464550844,105.32764263802544,99.26000213623048,102.48838791954482,-0.6107946265901498
2020-02-24,84.98113092386498,99.01897864787831,101.41978816599024,99.29000091552734,102.51936239530065,0.0302224245932514
2020-02-25,82.94339737802183,96.02068441356415,98.60781536524252,98.97000122070312,102.18895485801016,-0.3222879362207553
2020-02-26,80.64905706441627,95.6578663585567,98.774660989433,99.0,102.21992933376596,0.0303109820418923
2020-02-27,78.76226461158609,91.43330480148836,94.2180053860182,98.44000244140624,101.6417181128919,-0.565654099589652
2020-02-28,76.25660446454894,90.68004610858058,94.22779013969642,98.12999725341795,101.32163014916196,-0.314917899532563
2020-03-02,78.33962494472287,94.85488551765816,98.45999147405328,97.36000061035156,100.5265897204601,-0.7846699934963897
2020-03-03,78.27924620430424,92.18871424895129,95.51152619279746,97.1500015258789,100.3097605126323,-0.2156933886156231
2020-03-04,77.17736010281546,96.07931683042628,99.18500842552145,97.33999633789062,100.50593481826482,0.1955685116084238
2020-03-05,75.45660630711969,92.82010684229212,96.11094170681976,96.81999969482422,99.9690255242442,-0.53420655704709
2020-03-06,68.33207616266215,91.23716647754514,94.31852735053468,95.9499969482422,99.07072633964016,-0.8985775142783203
2020-03-09,51.86415186468161,84.30590654154621,87.44515677785375,94.9000015258789,97.98658030050126,-1.094315222260689
2020-03-10,56.18113391804245,88.47030692241711,91.77381473175758,96.41000366210938,99.54569455968624,1.5911508028992882
2020-03-11,54.022642891362025,84.146900582832,87.46022057262182,96.51000213623048,99.64894543805131,0.1037220934785532
2020-03-12,50.143398068985846,76.1434632723813,79.20863361124111,97.47000122070312,100.6401680499228,0.994714602863178
2020-03-13,51.094337319428064,83.21500186523627,86.61147106091971,98.75,101.96179819908473,1.3132233130874305
2020-03-16,45.35848941443101,73.24247007341192,75.93978477623364,98.08999633789062,101.2803282223085,-0.6683581388449378
2020-03-17,43.36603704488503,77.63371136154454,80.67120725064211,99.58000183105467,102.81879545683532,1.519018808025474
2020-03-18,37.55471571436468,73.60989688818039,76.87740262156214,101.16000366210938,104.45018611862956,1.5866657983550692
2020-03-19,42.97358386921432,73.95643815261724,78.64529601994673,102.76000213623048,106.102223805082,1.5816512615651313
2020-03-20,40.72452761092276,70.74972306224883,75.66405557310463,102.81999969482422,106.16417275659364,0.0583861009599839
2020-03-23,40.80000103644605,68.67719002643405,75.45673372033413,102.48999786376952,105.82343776820554,-0.3209510134547289
2020-03-24,40.98113149966834,75.12101553983864,81.58495931916158,101.73999786376952,105.04904436416184,-0.7317787253707464
2020-03-25,41.34339530512972,75.98753731409275,81.215850699481,101.0500030517578,104.33660778916686,-0.6781942466085211
2020-03-26,39.75849079635909,80.73023587707397,85.76085267200571,99.41999816894533,102.65358774942152,-1.6130676235384334
2020-03-27,37.63018913988797,78.01064795864916,82.5145485109506,98.37000274658205,101.56944171028262,-1.0561209431718344
2020-03-30,34.3547173266141,80.62525357546083,85.50359742752273,99.18000030517578,102.40578406583792,0.8234192700801612
